Algorithm,Data Structure, Mean Time
Selection,LinkedList,757.1
Insertion,LinkedList,2.5
Quick,DoublyLinkedList,15.4
Bubble,DoublyLinkedList,0.3
Selection,DoublyLinkedList,354.6
Insertion,DoublyLinkedList,1.3
Iterative Binary Search, ArrayList,0.0
Recursive Binary Search, ArrayList,0.0
Linear Search, ArrayList,0.0
Iterative Binary Search, LinkedList,0.0
Recursive Binary Search, LinkedList,0.0
Linear Search, LinkedList,0.4
Iterative Binary Search, DoublyLinkedList,0.0
Recursive Binary Search, DoublyLinkedList,0.0
Linear Search, DoublyLinkedList,0.3
Algorithm,Data Structure, Mean Time
Quick,ArrayList,1.3
Bubble,ArrayList,0.1
Selection,ArrayList,3.4
Insertion,ArrayList,0.2
Quick,LinkedList,40.7
Bubble,LinkedList,1.8
Selection,LinkedList,745.7
Insertion,LinkedList,2.6
Quick,DoublyLinkedList,16.3
Bubble,DoublyLinkedList,1.0
Selection,DoublyLinkedList,354.6
Insertion,DoublyLinkedList,1.3
Iterative Binary Search, ArrayList,0.1
Recursive Binary Search, ArrayList,0.0
Linear Search, ArrayList,0.0
Iterative Binary Search, LinkedList,0.0
Recursive Binary Search, LinkedList,0.0
Linear Search, LinkedList,0.3
Iterative Binary Search, DoublyLinkedList,0.0
Recursive Binary Search, DoublyLinkedList,0.0
Linear Search, DoublyLinkedList,0.2
Algorithm,Data Structure, Mean Time
Quick,ArrayList,4.9
Bubble,ArrayList,4.7
Selection,ArrayList,2.1
Insertion,ArrayList,2.9
Quick,LinkedList,388.0
Bubble,LinkedList,1171.0
Selection,LinkedList,353.9
Insertion,LinkedList,507.4
Quick,DoublyLinkedList,141.1
Bubble,DoublyLinkedList,811.2
Selection,DoublyLinkedList,208.5
Insertion,DoublyLinkedList,481.2
Iterative Binary Search, ArrayList,0.1
Recursive Binary Search, ArrayList,0.0
Linear Search, ArrayList,0.0
Iterative Binary Search, LinkedList,0.1
Recursive Binary Search, LinkedList,0.0
Linear Search, LinkedList,0.0
Iterative Binary Search, DoublyLinkedList,0.0
Recursive Binary Search, DoublyLinkedList,0.0
Linear Search, DoublyLinkedList,0.2
